repo,bugfix_commit,bugfix_file,bugfix_parent,bugfix_subject,bugfix_suffix,bugfix_directory_depth,bugfix_subsystem_key,bugfix_top_level_key,bugfix_size_bytes,bugfix_loc,bugfix_prior_touches_total,bugfix_prior_touches_365d,bugfix_total_churn,bugfix_churn_365d,bugfix_file_age_days,bugfix_composite,bugfix_ci_gzip,bugfix_entropy,bugfix_cc_density,bugfix_halstead
jq,a8ce2ff09af51b39be0d76091e6117caccd1b5c0,src/jv_aux.c,4003202ccf241cedb01cbe5f81523bcc40d588ad,Avoid zero-length `calloc` (#3280),.c,1,src,src,23045,689,41,3,1181,29,4480.6327083333335,0.30203904417857036,0.21219353438923844,0.6932967343599051,0.22641509433962265,0.0
jq,cec6b0f34603edc5cd12db1f63dacdf547b4bb4a,src/jq_test.c,b6a9e260cd1c76d795a1a85f2ccfd38f783dc79a,Fix crashes and resource leaks in `jq_testsuite` (#3509),.c,1,src,src,21986,613,58,5,1208,307,4946.816354166666,0.2800353202836718,0.22973710543072864,0.6904540962451184,0.11582381729200653,0.0
jq,dd4cec664cd2a45921189fab2a938a4966191a31,src/execute.c,46d1ce2667253f1a34cd389b6d00c0288ab0276f,fix memory leak,.c,1,src,src,34899,1070,108,1,3639,12,2206.0476157407406,0.2966044856445585,0.23416143729046676,0.6897812950147032,0.15046728971962617,0.04797802640290989
jq,df95871dd7415627bda6d70ce0569d0a4fbc22c6,src/compile.c,91d72575e43bf48e52e6bd9cac7db8b019ea3151,"Fix leak on too-large programs, OSS Fuzz issue 61349",.c,1,src,src,45240,1170,108,6,3432,77,4030.3522106481482,0.31119144893074846,0.23764367816091955,0.6938414334558372,0.19914529914529913,0.05352753766208025
jq,fa3733cc4c001106847d2591f00abd401ce3e940,src/decNumber/decNumberLocal.h,82987df98dc03d95a58363731a647520283071cd,fix typos,.h,2,src/decNumber,src,39038,496,1,1,757,757,71.94523148148149,0.28397277122680764,0.21914544802500127,0.6470795946705769,0.1814516129032258,0.024317398347295162
libxml2,041789d9ec5a0f592e200bcb7313d88ff14707e4,HTMLparser.c,0ec9c91064a58ce2932498a55ae63a85f43975f5,malloc-fail: Fix null deref in htmlnamePush,.c,0,<root>,<root>,215595,6429,373,40,28297,951,8627.977743055555,0.2791460433556869,0.20458266657390015,0.6125478460751359,0.12708041686109814,0.19410476063405807
libxml2,08a6a0848e3f440aa946fa8a6135d42339fedc61,catalog.c,84666581c217e81332e115b3932f449469a4a76f,Fix previous commit,.c,0,<root>,<root>,95817,3303,113,6,7852,270,8437.23755787037,0.2812024730231424,0.18281724537399419,0.6359075583006394,0.20920375416288223,0.06899979714194462
libxml2,0a890066aefe4f28af086a77bd5de000ecc1ac74,include/libxml/xmlerror.h,15ff5c2fbd042ffc8f6bc5be889385d89be80398,Fix initGenericErrorDefaultFunc(NULL),.h,2,include/libxml,include,37535,930,133,4,2930,46,9861.532881944444,0.2130703116852823,0.22165978420141202,0.4574345826166182,0.002150537634408602,0.1805743872151618
libxml2,0bac84b1bd6172000eb0e5d3543457f6eb6ef109,schematron.c,72906f161c70bb67dcc6a2797522dff4f1458058,Add missing NULL checks to public API functions,.c,0,<root>,<root>,61698,1790,41,6,3773,91,7215.843831018518,0.27550661431727275,0.17846607669616518,0.6778603980334676,0.16759776536312848,0.03398500028846243
libxml2,0bef170486223f5da754b2104773cc332a079ada,c14n.c,5bfaab77f6c1ce6efdcd4e8d0598924a9eb78850,c14n: Fix memory leak after malloc failure,.c,0,<root>,<root>,68930,1850,55,5,6453,386,8099.91775462963,0.2869564477725397,0.19296387639634413,0.7012784932598265,0.17783783783783783,0.018982455888001758
libxml2,0c56eb8215bea9e8e4aa934e45c677e6e132cf68,tree.c,b45a0f0eca7d42b08fb757884a759e7654c90134,tree: Restore return value of xmlNodeListGetString with NULL list,.c,0,<root>,<root>,236228,8003,598,100,48816,8460,9496.665914351852,0.2943448680986757,0.18651048986572294,0.6221290203643806,0.2420342371610646,0.12550285698187302
libxml2,1a865567d4910a4d4a0ea476aadc15d3e8ec9d27,tree.c,6fadd7980a4c5e6adb9ca336b203188b71dc9c9d,Remove redundant NULL check on cur,.c,0,<root>,<root>,253161,8567,579,82,47827,7473,9381.398842592593,0.29550462696023977,0.1877184874447486,0.619734836827172,0.24185829345161666,0.13706874068072175
libxml2,1aabc9db40dc5ec1f8f22c09e74c63dda53f7ed6,buf.c,b3b53dcce479a825fd34095744028711e9bd741a,malloc-fail: Fix null deref in xmlBufResize,.c,0,<root>,<root>,28114,969,32,13,1864,385,3837.1720949074074,0.2954532611404318,0.22977875791420643,0.705414579018997,0.16408668730650156,0.0
libxml2,1e1731a43d2950b6717a5bc0d3bb6efe03595c47,valid.c,631778f6797e31f294c5de81c13d16b6fc706a98,valid: Add NULL check in xmlCtxtValidateDtd,.c,0,<root>,<root>,186599,6038,324,43,27868,2500,9435.713969907407,0.2926641582981423,0.17832357086586745,0.6372777789804179,0.2305399138787678,0.12784494582204822
libxml2,1e6b17b8348f9b8d485febaf410d2c419d254924,testparser.c,be0ff6b7f0aebb4ecb562528697836363564a435,parser: Fix regression parsing standalone declarations,.c,0,<root>,<root>,1871,61,2,2,80,80,85.12856481481481,0.3791831338333274,0.40994120791020844,0.8451341089636116,0.08196721311475409,0.0
libxml2,250faf3c832d998baa559ca1a1c61935235aba20,SAX2.c,eca1116b81b4240a8bcda261bc5f5d6948403a19,parser: Fix regression in xmlParserNodeInfo accounting,.c,0,<root>,<root>,86359,2673,245,15,11111,144,9016.415335648147,0.2767174899508873,0.18734584698757512,0.6623687692339386,0.1447811447811448,0.08201789624151878
libxml2,276652006218c281527b30ae56d00af4f80f7304,tree.c,a0341ac8e94d08a2a0204c2217a5cc95bd7b2a5f,Remove redundant NULL check on cur,.c,0,<root>,<root>,253222,8570,577,80,47822,7468,9381.39792824074,0.29551649483533154,0.18770880887126712,0.6196854493147075,0.24200700116686114,0.13706874068072175
libxml2,2e55fbdebab606a5b326baa6661dba5acbbbed7d,tree.c,10c0413044f6e051544c22a1b4223dda0845bda2,Fix xmlRemoveEntity removing from wrong hash table,.c,0,<root>,<root>,230718,7628,636,31,53103,4145,10064.305185185185,0.29376868905828074,0.1883511472880313,0.6239852718907002,0.2362349239643419,0.12526654324502484
libxml2,31844c74df39c3b88735ef884c33c41da9d52795,xmlschemas.c,9afb6c5fb86a0dca167b6ae60aa05211a25e435f,malloc-fail: Fix null deref in xmlSchemaParseUnion,.c,0,<root>,<root>,832733,25870,293,15,99277,124,7630.852523148148,0.2937649673464412,0.19416667767459678,0.6024784804190833,0.16153846153846155,0.296289600533726
libxml2,359083591e997470f34501b48c7e78b09f6090b1,testparser.c,54824911cd8a5f6918d2ca74cfd86538ee4b4d05,Fix xmlRemoveEntity removing from wrong hash table,.c,0,<root>,<root>,42544,1328,49,19,1717,584,841.2310416666667,0.27689548591736257,0.2050582925911997,0.7055424153633542,0.0911144578313253,0.05924570372680797
libxml2,3a95572408151b5dfd9049e8b13871a941e2a7f7,tree.c,239e25f613cb0d63bb26ebae433fcc4a9e0cee16,tree: Restore return value of xmlNodeListGetString with NULL list,.c,0,<root>,<root>,254852,8638,591,93,47988,7632,9497.414131944444,0.29518227001373704,0.1881366440129958,0.6199608746502664,0.23952303774021763,0.13793783670712614
libxml2,3ab040c203afa8de1e8ac3561f65e93da7ed5912,python/libxml.c,8ea253b895e09161e44774a4a222ec19d2fc3d9e,Fix unidiomatic use of vsnprintf().,.c,1,python,python,102338,3161,124,10,8247,543,8514.285613425925,0.25550072021382086,0.1567648380855596,0.6056800537046597,0.13255298956026573,0.12784494582204822
libxml2,44947afba0ded433c6f4ffc10ee646c4b267f2b7,xpath.c,70b21c9f2a31b3ecfe8aa624c01da3ebba9e06c8,malloc-fail: Fix null deref after xmlPointerListAddSize,.c,0,<root>,<root>,411112,13132,506,40,51535,573,8628.078715277778,0.292541092172838,0.17935501761077274,0.6068839724033773,0.2105543710021322,0.2161131882984307
libxml2,49b54d7e2b0a3845d7affbf46be0fc0f1abf58f8,parser.c,c885bebb5d423b3faad21e62d9b962e824feaf93,parser: Fix null deref in xmlStringDecodeEntitiesInt,.c,0,<root>,<root>,436125,13688,812,87,76394,2979,8900.435370370371,0.29338065385591416,0.18915448552593866,0.6019707911778563,0.2087229690239626,0.2197216693110052
libxml2,4c6922f763ad958c48ff66f82823ae21f2e92ee6,xmlschemas.c,0c1b68e1be230f93e709d0e61f001d19f711e59e,schemas: Fix null-pointer-deref in xmlSchemaCheckCOSSTDerivedOK,.c,0,<root>,<root>,832217,25857,280,2,99187,34,7660.759236111111,0.2937176473179982,0.19408159170024164,0.6026004093215444,0.16131028348222917,0.296289600533726
libxml2,4fec0889e0cd406710f96f97a566495cb8178f3b,parserInternals.c,d09979561152379c9857d33159e0a8451df6a6da,parser: Fix memory leak in xmlInputSetEncodingHandler,.c,0,<root>,<root>,90435,2857,319,103,22473,4704,8698.270717592593,0.26821674419682895,0.210073533477083,0.6465091827314161,0.09975498774938747,0.08137811912170374
libxml2,577e2516d0ed3669c7e9879ba9f04214658bfd1b,valid.c,a279aae30f6c4d488f40b39e80087518b5459ea4,valid: Check for NULL node->name in xmlSnprintfElements,.c,0,<root>,<root>,186946,6038,311,35,27735,2572,9192.870925925927,0.29309252534229796,0.17852748922148642,0.6376813579457629,0.2312023848956608,0.12830883530240023
libxml2,57b92cabd2f3018212ddc1475df66e9f9cf643c3,catalog.c,2abb903344d4f655b1350c117d1a4197ff54096f,catalog: Fix regression in xmlCatalogAdd,.c,0,<root>,<root>,96028,3293,124,17,8091,509,8502.205659722222,0.2804853274487048,0.18196775940350732,0.635988669966079,0.20892802915274825,0.06653359171851765
libxml2,58d7a3b72516b1b16f5d72335112c9d661ede7d8,tree.c,6d02b54e0cdf6f6520d58ba8ff8db59fb743c60c,tree: Fix xmlTextMerge with NULL args,.c,0,<root>,<root>,254877,8641,592,27,48008,857,9714.278252314814,0.2951633208274744,0.18812996072615418,0.6198337887565217,0.23955560698993172,0.13793783670712614
libxml2,5bd6b44d139758652a259ee8cead6d8c61692fe3,include/libxml/xmlerror.h,ca10c7d7b513f334ac52aff88c81661194d919a5,Fix initGenericErrorDefaultFunc(NULL),.h,2,include/libxml,include,39309,975,144,15,3285,401,9861.43837962963,0.2152285282936202,0.22147599786308478,0.4658098622808351,0.0020512820512820513,0.1805743872151618
libxml2,64b76f8163d3608f9881b4de23dcc06530ba9323,xmllint.c,d7daf9fd967ad7fcd509e6355f12f824327f07a4,xmllint: Fix memory leak with --pattern --stream,.c,0,<root>,<root>,100254,3428,281,11,7116,154,8998.771875,0.2855968588717739,0.19363815907594709,0.6348654465396235,0.16540256709451576,0.14408691676108704
libxml2,6e1e22dc5f9f53fa8585b856662825d673938965,pattern.c,a530ff125dbf8ab4f297c0b91fc8fa34d4183bf5,malloc-fail: Fix null-deref in xmlPatPushState,.c,0,<root>,<root>,59154,2149,61,9,4770,336,7550.468877314815,0.28375363182145874,0.21562362646651115,0.6752638569077271,0.16798510935318753,0.00821490413538708
libxml2,6f9604f0e3e52e96881ab3b662f35fbe04cd49ac,xpath.c,4499143a8737148b9be4e3c05e71bc60c5b52e4f,malloc-fail: Fix memory leak in xmlXPathCacheNewNodeSet,.c,0,<root>,<root>,411065,13129,507,41,51575,613,8628.078900462962,0.2925766968261382,0.17943147677374624,0.6069125062054708,0.21052631578947367,0.21623913287569058
libxml2,702f2e463c1a81fb664eb9b4db1b78292d451fb9,tree.c,10c202f9dc41370b0918f57bbc185d95e73fc643,malloc-fail: Fix memory leak in xmlNewNodeEatName,.c,0,<root>,<root>,259404,8805,544,47,43508,3154,9346.630011574074,0.2953289566349948,0.18343587608517986,0.61583164500854,0.2509937535491198,0.13509391815464317
libxml2,75693281389aab047b424d46df944b35ab4a3263,pattern.c,90bcbcfcc72f0647233c0ae85f8dc0e31098530a,malloc-fail: Fix memory leak in xmlCompileAttributeTest,.c,0,<root>,<root>,63061,2309,51,2,4427,26,7170.5960069444445,0.28407951179487984,0.21596549372829482,0.6730404735218724,0.16414032048505847,0.02045711442492042
libxml2,7c5daa376343738a4bd85474386c976d3839f114,tree.c,f43197fca7e0f6fc2c63d7fd1dd2a4230540bfc6,tree: Ignore namespace with NULL href in xmlSearchNs,.c,0,<root>,<root>,253006,8566,574,77,47804,7450,9360.450601851851,0.29544817825874636,0.18780977526224674,0.6197926276801887,0.24141956572495915,0.13706874068072175
libxml2,7d97290a0e93bf78b8e5b9dc390c27a82f0443de,testparser.c,2a4eb6bd713fc1ba73e52f2d34d7250178e84338,save: Fix xmlSave with NULL encoding,.c,0,<root>,<root>,30635,1001,37,25,1295,910,546.8687731481482,0.28124139427301975,0.21452586910396604,0.7157469567198395,0.0939060939060939,0.03966047811818587
libxml2,8318b5a63465f5805cf3e9ebad794f4db40b5aae,parser.c,f2270863807c4d7bd33f671a87b2438d605602ae,parser: Fix NULL checks for output arguments,.c,0,<root>,<root>,390763,12197,978,127,90302,12734,9432.395,0.2920912302713974,0.19294303708385901,0.6060613375551639,0.19029269492498155,0.22094533656289492
libxml2,8583b9f1cdb966315b3caae328f5d9f2c8b65292,xpath.c,5c06f4e38480854d08a7e52947976f1f5459a081,malloc-fail: Fix null deref in xmlXPathTranslateFunction,.c,0,<root>,<root>,379249,12110,522,36,54583,3275,8915.996273148148,0.2927680483347881,0.18215209532523488,0.6059573948527474,0.21742361684558217,0.2005624549193879
libxml2,85bc313e7996c06d52b6f6f5c6a467ff3a148e75,xpath.c,f5e1174933c65556b5d1c0b3a8f13a27f37a1638,malloc-fail: Fix memory leak after calling valuePush,.c,0,<root>,<root>,410912,13118,495,30,51390,430,8618.078032407408,0.2928172643935818,0.17990713340082548,0.6066680302232335,0.21100777557554506,0.21636496760158241
libxml2,873c17116598cfc8fc2eb3a6fe7b9ac43306cc53,c14n.c,6bc86405d1474f689bd2e4b94d5271b7277690e1,Avoid EDG -Wignored-qualifiers warnings on wrong 'const *' to '* const' conversions,.c,0,<root>,<root>,70496,1859,51,1,6068,1,7932.5175,0.2847970773270898,0.1908618928733545,0.7031127298703383,0.17267348036578806,0.014974711950468133
libxml2,8c5e54d5bd042e7ac7ffd257f724477c332c535b,c14n.c,05b0c030060b0c94bc7ae0b040236ad1d134ff0c,Fix C14N type confusion,.c,0,<root>,<root>,68558,1803,69,11,6983,500,8681.757743055556,0.2886864395700677,0.19208553341696083,0.7045704998185285,0.1808097615085968,0.02240016741981048
libxml2,936e3d529a6fc17d552f4b6544ba8e51646069df,testparser.c,b85d77d156476bcb910b2a25b21a091957d10de6,save: Fix xmlSave with NULL encoding,.c,0,<root>,<root>,30635,1001,37,25,1295,910,546.2699421296296,0.28124139427301975,0.21452586910396604,0.7157469567198395,0.0939060939060939,0.03966047811818587
libxml2,97086fd76b21fee6e41c13921c450411442d9da6,xmlIO.c,1c5e1fc194a661783d4bffbfd4b4424a7d74881f,malloc-fail: Fix memory leak in xmlParserInputBufferCreateMem,.c,0,<root>,<root>,103360,3444,258,22,13960,301,8605.850509259259,0.284817978248737,0.1983455882352941,0.6499216225388056,0.14227642276422764,0.14136279290241732
libxml2,98194640b80a8d04b5af22b077ffd8368a9568cf,xmlwriter.c,bcaae46a31060a650164511dbe3f8fb45241f2b4,Fix memory leak of prefix in xmlTextWriterStartElementNS(),.c,0,<root>,<root>,121729,3850,89,12,8362,1733,8088.912175925926,0.20070685221599519,0.09678055352463258,0.6710568628434204,0.006233766233766234,0.0
libxml2,a846719b9cd548d3e7e09475e3f33d8ef4101412,pattern.c,4ff2dccf9f3d653f29d27cfbae418931387d7a50,pattern: Fix memory leak xmlCompileStepPattern,.c,0,<root>,<root>,62140,2275,56,5,4616,189,7467.5124189814815,0.2826294804862414,0.21380753138075315,0.673089686064501,0.1665934065934066,0.011374216604918885
libxml2,aef1ff4372e080f9287209a4cdc8d13a275fccaa,xmlstring.c,9033a27068d784b3cfd597b3b58f750bb311e4c8,"string: Fix xmlStrncatNew(NULL, """")",.c,0,<root>,<root>,30575,1016,39,3,1558,210,7374.288136574074,0.2988337056763684,0.2356500408830744,0.6779933513869354,0.2047244094488189,0.0
libxml2,afc7e3a7f41e2e29ac36d4d7cbd0c0755558fa5d,parser.c,7ceaee9430ca24bda7f2480f387dbebfc259002a,malloc-fail: Fix memory leak in xmlParseReference,.c,0,<root>,<root>,440370,13928,766,41,74134,719,8847.479918981482,0.29472082324127485,0.18927265708381588,0.6014690554478804,0.21453187823090178,0.21947568544222484
libxml2,b45927095e0c857b68a96466e3075d60a6a5dd9e,tree.c,5a19e21605398cef6a8b1452477a8705cb41562b,malloc-fail: Fix memory leak in xmlStringGetNodeList,.c,0,<root>,<root>,268290,9061,490,32,40202,461,8847.488182870371,0.2963161320019101,0.1815609974281561,0.6184226074447594,0.25571129014457566,0.13465137331656346
libxml2,b55ee729dea1122a1f2942b83f7f3b21116f873b,testparser.c,a581f65194212f183dcbe77da44657d477a4758d,html: Regression test for #696,.c,0,<root>,<root>,7289,236,8,8,298,298,126.99820601851852,0.32032305490376145,0.2886541363698724,0.7845963238569459,0.09322033898305085,0.0
libxml2,bc7740b3c30e1517dcf53a084766c74d25db222f,tree.c,8d22e065888942b8c1b5be8994c6887b5a687246,malloc-fail: Fix memory leak in xmlCopyPropList,.c,0,<root>,<root>,267718,9041,494,33,40321,541,8954.525659722221,0.29639238809490803,0.18195265167078792,0.618702287780209,0.2545072447738082,0.1357552004618084
libxml2,bd6fa2c1d5c163ab94edaf2e62d18cdfee33f913,xpath.c,56cc2211bcfad496c346c7e4da3b0ad273a08e16,malloc-fail: Fix memory leak in xmlXPathRegisterNs,.c,0,<root>,<root>,411341,13138,512,41,51623,547,8638.297800925926,0.2926126482976609,0.17951043051871804,0.6068228986190132,0.21061044298980058,0.21636496760158241
libxml2,c537ccf0aea640e625abce653d5890afc934b340,include/libxml/xmlexports.h,da45a190f718e8e2f0e3d2a6325ffa23abc8b90c,Fixed compilation error on GCC versions prior to 4.5,.h,2,include/libxml,include,2205,72,35,6,680,88,8067.009363425926,0.369575178432039,0.36054421768707484,0.8221631475905902,0.1388888888888889,0.0
libxml2,c6167cf3b9acf4b050e0b73c30019ab60d8e3393,xmllint.c,a30a4e6efc924da0a990d07c8601b64c54c7aefe,fix to issue 227 adding xpath0 to xmllint,.c,0,<root>,<root>,104196,3025,395,58,15101,5061,10001.875636574074,0.2951728372133847,0.1768110100195785,0.6262585419511162,0.2271074380165289,0.16311770557039793
libxml2,ca6a8cf94672e6f3c48c08d6af2201599788fc17,runtest.c,00cec2bea400d4296b0b429458a283b4de890d49,runtest: Add test for Memory leak in xmlInputFromFd,.c,0,<root>,<root>,148045,4857,176,15,26725,1001,7569.481863425926,0.26792478563817407,0.17471039211050693,0.6296577504207825,0.11509162034177475,0.16474584264549197
libxml2,cb4334b7abf265f55d1a41f435fedd67494eeb18,SAX2.c,9fa1b228a5d60fab92a79c6c01c39e37454da1b3,malloc-fail: Fix memory leak in xmlSAX2StartElementNs,.c,0,<root>,<root>,86215,2667,243,19,11095,314,8954.525648148148,0.2767522801565057,0.1873803862436931,0.6624743500293635,0.14473190851143608,0.08201789624151878
libxml2,cdfb54ff7ba3e881afbef10f90a56beaf3063034,encoding.c,57e4bbd8032da20845c91e60447d6b4f4aac4f8a,Fix typos,.c,0,<root>,<root>,75535,2337,214,34,19441,4971,9601.707395833333,0.2712459542171819,0.1849208975971404,0.6653437549465852,0.14249037227214378,0.05235619560570122
libxml2,d936c4503c7429967586376c68964ce928b94859,xmllint.c,b4c7a915081e6f2587110c50e1722fb096c5c803,fix to issue 227 adding xpath0 to xmllint,.c,0,<root>,<root>,104196,3025,395,34,15101,1607,10083.649467592593,0.2951728372133847,0.1768110100195785,0.6262585419511162,0.2271074380165289,0.16311770557039793
libxml2,dd4c0f62fa1fd9650aae6b718dd9964a4ffa69b9,tree.c,54c3d42891547756e7966f4f49450188f941a074,tree: Fix xmlTextMerge with NULL args,.c,0,<root>,<root>,236554,8022,605,40,48958,1807,9714.27181712963,0.29429690823549437,0.186600099765804,0.6218178122459975,0.24171029668411867,0.12620948453701786
libxml2,f0a703dac85ad9398f208d3237ca19c483368834,dict.c,61e29b6949c8878fbc20e46248d631b336e8bcc1,dict: Fix null-deref with empty subdict,.c,0,<root>,<root>,22346,777,76,18,3910,1836,7348.118159722222,0.2966409752494254,0.25064888570661414,0.7228506448383699,0.12226512226512226,0.0
libxml2,f879a0177b9f2c5f85b0bb6d30385e36c2f6e281,c14n.c,465e20985359168e7d0b24ebb02a4d082b255d19,Fix C14N type confusion,.c,0,<root>,<root>,68558,1803,69,10,6983,453,8764.7428125,0.2886864395700677,0.19208553341696083,0.7045704998185285,0.1808097615085968,0.02240016741981048
libxml2,fc256953d29698ba5918c32d14fc69ea69d7e64e,HTMLparser.c,643b4e90ebf619432b0287010b593edd8c0c0f8e,malloc-fail: Fix memory leak in htmlCreateMemoryParserCtxt,.c,0,<root>,<root>,214651,6397,369,36,28255,909,8627.977534722222,0.2794960153607896,0.20495129302914963,0.612805605251398,0.12771611692981086,0.19410476063405807
libxml2,fc72e0833a4e5724aef604e2fd9adb1014cb4844,encoding.c,110e44ec9c33096e306cdd9251029a4e54e277f9,Fix compilation with uclibc,.c,0,<root>,<root>,137170,3392,185,6,14592,179,9559.293229166668,0.24897099509939563,0.14419333673543777,0.623281919345937,0.15035377358490565,0.07279204545631987
libxml2,fe7f835f32757632edff0052d74063e97229d2c4,xmlschemastypes.c,b8234e8c73335df722b8ec66dbb7d2b82eaa8349,Fix C4296 warning: Resolve comparison of unsigned int with 0,.c,0,<root>,<root>,182217,5518,165,9,14595,1152,8345.774074074074,0.30651239661213797,0.1774203285094146,0.6376734709660439,0.2767306995288148,0.13987436919381935
nginx,10bda6e11b91fe67c4489ab5e0347355fa6091cb,src/event/ngx_event_quic.h,07699053c03de69b5482c4cc2547993fae3982e6,Fixed includes in quic headers.,.h,2,src/event,src,3749,70,27,27,625,625,54.798344907407404,0.32004863498403086,0.30354761269671915,0.7760816971463002,0.07142857142857142,0.0
nginx,41d8ea8c8d268555d3cbd8dd2ab32dcc06658209,src/stream/ngx_stream_variables.c,cba23f88ec6740b7f8d6a1383254708a91d37625,Fixed handling of unix sockets in $binary_remote_addr.,.c,2,src/stream,src,30239,921,11,4,1302,188,477.1190740740741,0.2600733204441575,0.15073249776778333,0.7067909267522471,0.1259500542888165,0.003342300153745015
nginx,53bea399a006054350e9068b3a23f3dea89b1c0e,src/core/ngx_times.c,559017768ece4f5328ae0018f337fbe05865c5a8,Fixed reference to time parsing code after 8b6fa4842133.,.c,2,src/core,src,10964,295,57,0,1564,0,5055.654583333333,0.30120797350872536,0.25921196643560745,0.7758563253014812,0.0711864406779661,0.0
nginx,6299f5e9149483251bbbcc8ad26cf29b6109e75c,src/http/modules/ngx_http_log_module.c,678991a8f6b4eff4c7e5a5ee308378c2f1e327b7,"Avoid left-shifting integers into the sign bit, which is undefined.",.c,3,src/http,src,46773,1306,107,0,5210,0,4623.915856481482,0.2900232689437297,0.1934663160370299,0.7054787756991493,0.1562021439509954,0.06510516911789281
nginx,7250a7688da4ee9ad1a88fd1489bbb19ec2020ce,src/event/ngx_event_quic.c,46a01acdc0ba98014bcd282628453f59954f9a3a,QUIC: fixed memory leak in ngx_quic_send_frames().,.c,2,src/event,src,134220,3708,257,257,18779,18779,223.7203125,0.28063472887087787,0.18260318879451645,0.6540226946552816,0.1429341963322546,0.1521600439723727
nginx,b32cb6b61079d2eff69c89e0e718a79258507717,src/mail/ngx_mail_proxy_module.c,f1c4853ea1a981073b067cd1356febd08b86f898,Fixed worker_shutdown_timeout in various cases.,.c,2,src/mail,src,30832,843,53,0,2479,0,4828.767685185185,0.2762288533317424,0.1469252724442138,0.7187112277540318,0.1874258600237248,0.0
nginx,f5036584840df54c066af8452fcc75b6af7ded97,src/event/ngx_event_quic.c,10bda6e11b91fe67c4489ab5e0347355fa6091cb,Fixed memory leak with reordered stream frames.,.c,2,src/event,src,77171,2109,126,125,12521,12410,54.06665509259259,0.27837643345001606,0.18563968330072178,0.6793344916472821,0.13418681839734473,0.09571020415622869
